日期,更新,账户,名称,昨值,入金,出金,今值,净值
2020-03-10,2020-03-10 15:18:26,RongHang2,闿华资产,5000000,0,0,5000000,1
2020-03-11,2020-03-11 15:18:26,RongHang2,闿华资产,5000000,0,0,5000000,1
2020-03-12,2020-03-12 15:18:24,RongHang2,闿华资产,5000000,0,0,5000000,1
2020-03-13,2020-03-13 15:18:28,RongHang2,闿华资产,5000000,0,0,5000000,1
2020-03-16,2020-03-16 15:16:41,RongHang2,闿华资产,5000000,0,0,5001855.1,1.0004
2020-03-17,2020-03-17 15:18:28,RongHang2,闿华资产,5001855.1,0,0,5002498.1,1.0005
2020-03-18,2020-03-18 15:18:27,RongHang2,闿华资产,5002498.12,0,0,4974880.8,0.995
2020-03-19,2020-03-19 15:18:28,RongHang2,闿华资产,4988180.76,0,0,4918613,0.9837
2020-03-20,2020-03-20 15:18:24,RongHang2,闿华资产,4926812.97,0,0,4934340.7,0.9869
2020-03-23,2020-03-23 15:18:29,RongHang2,闿华资产,4934340.72,0,0,4920939,0.9842
2020-03-24,2020-03-24 15:18:27,RongHang2,闿华资产,4925139.04,0,0,4928843.2,0.9858
2020-03-25,2020-03-25 15:17:58,RongHang2,闿华资产,4928843.23,0,0,4932902.1,0.9866
2020-03-26,2020-03-26 15:18:29,RongHang2,闿华资产,4932902.05,0,0,4928561,0.9857
2020-03-27,2020-03-27 15:18:29,RongHang2,闿华资产,4928561.02,0,0,4940927.8,0.9882
2020-03-30,2020-03-30 15:18:28,RongHang2,闿华资产,4940927.8,0,0,4945316.3,0.9891
2020-03-31,2020-03-31 15:18:29,RongHang2,闿华资产,4945316.25,0,0,4944294,0.9889
2020-04-01,2020-04-01 15:18:24,RongHang2,闿华资产,4944293.95,0,0,4934808.9,0.987
2020-04-02,2020-04-02 15:16:41,RongHang2,闿华资产,4934808.87,0,0,4946182.5,0.9892
2020-04-03,2020-04-03 15:18:24,RongHang2,闿华资产,4946182.52,0,0,4946182.5,0.9892
2020-04-07,2020-04-07 15:18:29,RongHang2,闿华资产,4946182.52,0,0,4935880.6,0.9872
2020-04-08,2020-04-08 15:17:59,RongHang2,闿华资产,4935880.63,0,0,4907945.6,0.9816
2020-04-09,2020-04-09 15:18:29,RongHang2,闿华资产,4907945.59,0,0,4905577.6,0.9811
2020-04-10,2020-04-10 15:18:27,RongHang2,闿华资产,4905577.63,0,0,4887090.4,0.9774
2020-04-13,2020-04-13 15:18:28,RongHang2,闿华资产,4887090.39,0,0,4885403.1,0.9771
2020-04-14,2020-04-14 15:16:41,RongHang2,闿华资产,4885403.13,0,0,4889775.3,0.978
2020-04-15,2020-04-15 15:18:41,RongHang2,闿华资产,4889775.29,0,0,4881428.4,0.9763
2020-04-16,2020-04-16 15:18:29,RongHang2,闿华资产,4881428.44,0,0,4878180.5,0.9756
2020-04-17,2020-04-17 15:18:24,RongHang2,闿华资产,4878180.52,0,0,4885326.9,0.9771
2020-04-20,2020-04-20 15:18:28,RongHang2,闿华资产,4885326.87,0,0,4877750.7,0.9756
2020-04-21,2020-04-21 15:18:29,RongHang2,闿华资产,4877750.68,0,0,4880122.7,0.976
2020-04-22,2020-04-22 15:16:42,RongHang2,闿华资产,4880122.73,0,0,4911394.8,0.9823
2020-04-23,2020-04-23 15:18:00,RongHang2,闿华资产,4911394.82,0,0,4913601.2,0.9827
2020-04-24,2020-04-24 15:18:24,RongHang2,闿华资产,4913601.19,0,0,4940248.1,0.988
2020-04-27,2020-04-27 15:16:42,RongHang2,闿华资产,4939478.07,0,0,4945104,0.989
2020-04-28,2020-04-28 15:16:12,RongHang2,闿华资产,4945104.04,0,0,4921490,0.9843
2020-04-29,2020-04-29 15:18:24,RongHang2,闿华资产,4921489.99,0,0,4916639.7,0.9833
2020-04-30,2020-04-30 15:16:42,RongHang2,闿华资产,4916639.67,0,0,4919169.5,0.9838
2020-05-06,2020-05-06 15:18:25,RongHang2,闿华资产,4919169.47,0,0,4896567.1,0.9793
2020-05-07,2020-05-07 15:18:29,RongHang2,闿华资产,4896567.08,0,0,4895703.6,0.9791
2020-05-08,2020-05-08 15:17:54,RongHang2,闿华资产,4895703.61,0,0,4906131.3,0.9812
2020-05-11,2020-05-11 15:16:43,RongHang2,闿华资产,4906131.28,0,0,4911374.8,0.9823
2020-05-12,2020-05-12 15:18:25,RongHang2,闿华资产,4911039.84,0,0,4926621.3,0.9853
2020-05-13,2020-05-13 15:18:25,RongHang2,闿华资产,4926621.34,0,0,4931300.3,0.9863
2020-05-14,2020-05-14 15:16:42,RongHang2,闿华资产,4931300.3,0,0,4929709.4,0.9859
2020-05-15,2020-05-15 15:17:55,RongHang2,闿华资产,4929709.43,0,0,4928811.6,0.9858
2020-05-18,2020-05-18 15:18:25,RongHang2,闿华资产,4928811.62,0,0,4920838.6,0.9842
2020-05-19,2020-05-19 15:16:43,RongHang2,闿华资产,4920838.57,0,0,4929818,0.986
2020-05-20,2020-05-20 15:18:25,RongHang2,闿华资产,4929817.98,0,0,4917466.8,0.9835
2020-05-21,2020-05-21 15:18:25,RongHang2,闿华资产,4917466.81,0,0,4933992.1,0.9868
2020-05-22,2020-05-22 15:18:25,RongHang2,闿华资产,4933992.12,0,0,4935419.2,0.9871
2020-05-25,2020-05-25 15:17:56,RongHang2,闿华资产,4935419.22,0,0,4931865.8,0.9864
2020-05-26,2020-05-26 15:17:55,RongHang2,闿华资产,4931865.79,0,0,4926776.7,0.9854
2020-05-27,2020-05-27 15:18:25,RongHang2,闿华资产,4926776.67,0,0,4945469.9,0.9891
2020-05-28,2020-05-28 15:18:25,RongHang2,闿华资产,4945469.91,0,0,4943420,0.9887
2020-05-29,2020-05-29 15:18:25,RongHang2,闿华资产,4943420.05,0,0,4944474.6,0.9889
2020-06-01,2020-06-01 15:18:25,RongHang2,闿华资产,4944474.64,0,0,4956484.2,0.9913
2020-06-02,2020-06-02 15:18:26,RongHang2,闿华资产,4956484.16,0,0,4949617.7,0.9899
2020-06-03,2020-06-03 15:18:25,RongHang2,闿华资产,4949617.72,0,0,4944128,0.9888
2020-06-04,2020-06-04 15:18:29,RongHang2,闿华资产,4944127.97,0,0,4945816.4,0.9892
2020-06-05,2020-06-05 15:18:24,RongHang2,闿华资产,4945816.39,0,0,4931792.7,0.9864
2020-06-08,2020-06-08 15:16:44,RongHang2,闿华资产,4931792.68,0,0,4939305.9,0.9879
2020-06-09,2020-06-09 15:18:00,RongHang2,闿华资产,4939305.93,0,0,4924735.7,0.9849
2020-06-10,2020-06-10 15:16:42,RongHang2,闿华资产,4924735.74,0,0,4949634.8,0.9899
2020-06-11,2020-06-11 15:18:00,RongHang2,闿华资产,4949634.79,0,0,4968154.2,0.9936
2020-06-12,2020-06-12 15:17:54,RongHang2,闿华资产,4968154.21,0,0,4977076.4,0.9954
2020-06-15,2020-06-15 15:18:24,RongHang2,闿华资产,4977076.37,0,0,4983131.2,0.9966
2020-06-16,2020-06-16 15:18:27,RongHang2,闿华资产,4983131.2,0,0,5003537.8,1.0007
2020-06-17,2020-06-17 15:18:27,RongHang2,闿华资产,5003537.84,0,0,5013221.9,1.0026
2020-06-18,2020-06-18 15:18:27,RongHang2,闿华资产,5013221.94,0,0,5020314.5,1.0041
2020-06-19,2020-06-19 15:18:27,RongHang2,闿华资产,5020314.53,0,0,5011636.4,1.0023
2020-06-22,2020-06-22 15:17:57,RongHang2,闿华资产,5011636.42,0,0,5016878.1,1.0034
2020-06-23,2020-06-23 15:18:28,RongHang2,闿华资产,5016878.11,0,0,5016173.5,1.0032
2020-06-24,2020-06-24 15:18:27,RongHang2,闿华资产,5016173.45,0,0,5016119.3,1.0032
2020-06-29,2020-06-29 15:18:28,RongHang2,闿华资产,5016119.33,0,0,5018512.9,1.0037
2020-06-30,2020-06-30 15:18:27,RongHang2,闿华资产,5018512.91,0,0,5026326,1.0053
2020-07-01,2020-07-01 15:18:27,RongHang2,闿华资产,5026325.96,0,0,5031897.6,1.0064
2020-07-02,2020-07-02 15:18:27,RongHang2,闿华资产,5031897.6,0,0,5023318.9,1.0047
2020-07-03,2020-07-03 15:18:40,RongHang2,闿华资产,5023318.95,0,0,5008577.6,1.0017
2020-07-06,2020-07-06 15:18:28,RongHang2,闿华资产,5008577.58,0,0,4984330,0.9969
2020-07-07,2020-07-07 15:18:24,RongHang2,闿华资产,4984330.05,0,0,4988113,0.9976
2020-07-08,2020-07-08 15:18:25,RongHang2,闿华资产,4988113.03,0,0,4991623.2,0.9983
2020-07-09,2020-07-09 15:18:25,RongHang2,闿华资产,4991623.19,0,0,5001313.6,1.0003
2020-07-10,2020-07-10 15:18:24,RongHang2,闿华资产,5001313.55,0,0,4995366.3,0.9991
2020-07-13,2020-07-13 15:16:42,RongHang2,闿华资产,4995366.31,0,0,4980552.1,0.9961
2020-07-14,2020-07-14 15:18:29,RongHang2,闿华资产,4980552.08,0,0,4976552.9,0.9953
2020-07-15,2020-07-15 15:18:25,RongHang2,闿华资产,4976552.87,0,0,4964241.1,0.9928
2020-07-16,2020-07-16 15:18:25,RongHang2,闿华资产,4964241.14,0,0,4972531.3,0.9945
2020-07-17,2020-07-17 15:18:27,RongHang2,闿华资产,4972531.3,0,0,4974111.9,0.9948
2020-07-20,2020-07-20 15:17:58,RongHang2,闿华资产,4974111.93,0,0,4949207.4,0.9898
2020-07-21,2020-07-21 15:18:26,RongHang2,闿华资产,4951687.36,0,0,4965166,0.993
2020-07-22,2020-07-22 15:16:41,RongHang2,闿华资产,4965166,0,0,4964840.6,0.993
2020-07-23,2020-07-23 15:16:41,RongHang2,闿华资产,4964840.61,0,0,4945298,0.9891
2020-07-24,2020-07-24 15:18:27,RongHang2,闿华资产,4945297.95,0,0,4925839,0.9852
2020-07-27,2020-07-27 15:18:26,RongHang2,闿华资产,4925839.02,0,0,4921407.8,0.9843
2020-07-28,2020-07-28 15:18:25,RongHang2,闿华资产,4921407.77,0,0,4957741.1,0.9915
2020-07-29,2020-07-29 15:16:44,RongHang2,闿华资产,4957741.13,0,0,4958189.9,0.9916
2020-07-30,2020-07-30 15:18:25,RongHang2,闿华资产,4958189.88,0,0,4941701.2,0.9883
2020-07-31,2020-07-31 15:18:26,RongHang2,闿华资产,4941701.22,0,0,4942768.3,0.9886
2020-08-03,2020-08-03 15:16:44,RongHang2,闿华资产,4942768.28,0,0,4913026.1,0.9826
2020-08-04,2020-08-04 15:16:44,RongHang2,闿华资产,4913026.13,0,0,4913897.9,0.9828
2020-08-05,2020-08-05 15:18:28,RongHang2,闿华资产,4913897.91,0,0,4913608.9,0.9827
2020-08-06,2020-08-06 15:18:26,RongHang2,闿华资产,4913608.86,0,0,4906331.8,0.9813
2020-08-07,2020-08-07 15:16:40,RongHang2,闿华资产,4906331.8,0,0,4908284.9,0.9817
2020-08-10,2020-08-10 15:18:28,RongHang2,闿华资产,4908284.91,0,0,4913002,0.9826
2020-08-11,2020-08-11 15:18:29,RongHang2,闿华资产,4913002.05,0,0,4911981.4,0.9824
2020-08-12,2020-08-12 15:18:25,RongHang2,闿华资产,4911981.42,0,0,4913956.3,0.9828
2020-08-13,2020-08-13 15:18:29,RongHang2,闿华资产,4913956.35,0,0,4903078.1,0.9806
2020-08-14,2020-08-14 15:18:27,RongHang2,闿华资产,4903078.12,0,0,4913818.9,0.9828
2020-08-17,2020-08-17 15:18:28,RongHang2,闿华资产,4913818.9,0,0,4903062.9,0.9806
2020-08-18,2020-08-18 15:16:41,RongHang2,闿华资产,4903062.87,0,0,4898662.3,0.9797
2020-08-19,2020-08-19 15:18:28,RongHang2,闿华资产,4898662.29,0,0,4901855.5,0.9804
2020-08-20,2020-08-20 15:18:28,RongHang2,闿华资产,4901855.5,0,0,4905154.7,0.981
2020-08-21,2020-08-21 15:16:41,RongHang2,闿华资产,4905154.68,0,0,4900565.9,0.9801
2020-08-24,2020-08-24 15:17:59,RongHang2,闿华资产,4905605.89,0,0,4883951,0.9768
2020-08-25,2020-08-25 15:16:40,RongHang2,闿华资产,4883951.02,0,0,4873581,0.9747
2020-08-26,2020-08-26 15:18:24,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-08-27,2020-08-27 15:18:29,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-08-28,2020-08-28 15:18:24,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-08-31,2020-08-31 15:16:42,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-09-01,2020-09-01 15:18:29,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-09-02,2020-09-02 15:18:24,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-09-03,2020-09-03 15:18:24,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-09-04,2020-09-04 15:18:29,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-09-07,2020-09-05 02:30:12,RongHang2,闿华资产,4873581.04,0,0,4873581,0.9747
2020-09-08,2020-09-08 15:18:27,RongHang2,闿华资产,4873581.04,0,0,4869263.4,0.9739
2020-09-09,2020-09-09 15:16:40,RongHang2,闿华资产,4869263.39,0,0,4875012.6,0.975
2020-09-10,2020-09-10 02:30:10,RongHang2,闿华资产,4875012.64,0,0,4877530.6,0.9755
2020-09-11,2020-09-11 15:18:24,RongHang2,闿华资产,4877057.05,0,0,4877507.4,0.9755
2020-09-14,2020-09-14 15:18:26,RongHang2,闿华资产,4877507.43,0,0,4871370,0.9743
2020-09-15,2020-09-15 15:18:25,RongHang2,闿华资产,4871370.04,0,0,4871066.2,0.9742
2020-09-16,2020-09-16 15:16:43,RongHang2,闿华资产,4871066.23,0,0,4877569.3,0.9755
2020-09-17,2020-09-17 15:18:26,RongHang2,闿华资产,4877569.3,0,0,4879218,0.9758
2020-09-18,2020-09-18 15:18:26,RongHang2,闿华资产,4879217.95,0,0,4882450.1,0.9765
