日期,更新,账户,名称,昨值,入金,出金,今值,净值
2020-07-14,2020-07-14 15:25:03,PuYi2,浦裔2,10000000,0,0,9990407.73,0.999
2020-07-15,2020-07-15 15:25:02,PuYi2,浦裔2,9990407.73,0,0,9966128.9,0.9966
2020-07-16,2020-07-16 15:25:02,PuYi2,浦裔2,9966128.9,0,0,9982227.58,0.9982
2020-07-17,2020-07-17 15:25:03,PuYi2,浦裔2,9982227.56,0,0,9986465.34,0.9986
2020-07-20,2020-07-20 15:25:02,PuYi2,浦裔2,9986815.37,0,0,9953953.76,0.9954
2020-07-21,2020-07-21 15:25:02,PuYi2,浦裔2,9961393.76,0,0,9986525.85,0.9987
2020-07-22,2020-07-22 15:25:02,PuYi2,浦裔2,9986525.92,0,0,9987319.47,0.9987
2020-07-23,2020-07-23 15:25:03,PuYi2,浦裔2,9987319.47,0,0,9946902.05,0.9947
2020-07-24,2020-07-24 15:25:02,PuYi2,浦裔2,9946902.06,0,0,9912206.79,0.9912
2020-07-27,2020-07-27 15:25:02,PuYi2,浦裔2,9912206.79,0,0,9904227.01,0.9904
2020-07-28,2020-07-28 15:25:02,PuYi2,浦裔2,9904227.04,0,0,9975864.58,0.9976
2020-07-29,2020-07-30 21:45:52,PuYi2,浦裔2,9975864.62,0,0,9976949.38,0.9977
2020-07-30,2020-07-30 21:45:40,PuYi2,浦裔2,9976949.4,0,0,9942353.99,0.9942
2020-07-31,2020-07-31 15:25:02,PuYi2,浦裔2,9942354.01,0,0,9945463.05,0.9945
2020-08-03,2020-08-03 15:25:02,PuYi2,浦裔2,9945463.06,0,0,9882868.68,0.9883
2020-08-04,2020-08-04 15:25:03,PuYi2,浦裔2,9882868.68,0,0,9884344.51,0.9884
2020-08-05,2020-08-05 15:25:02,PuYi2,浦裔2,9884344.51,0,0,9884892.2,0.9885
2020-08-06,2020-08-06 15:25:03,PuYi2,浦裔2,9884892.22,0,0,9870091.02,0.987
2020-08-07,2020-08-07 15:25:02,PuYi2,浦裔2,9870091.02,0,0,9873505.08,0.9874
2020-08-10,2020-08-10 15:25:02,PuYi2,浦裔2,9873505.09,0,0,9884087.87,0.9884
2020-08-11,2020-08-11 15:25:03,PuYi2,浦裔2,9884087.89,0,0,9883147.84,0.9883
2020-08-12,2020-08-12 15:25:02,PuYi2,浦裔2,9883147.86,0,0,9884506.15,0.9885
2020-08-13,2020-08-13 15:25:02,PuYi2,浦裔2,9884506.15,0,0,9863115.73,0.9863
2020-08-14,2020-08-14 15:25:02,PuYi2,浦裔2,9863115.73,0,0,9884172.92,0.9884
2020-08-17,2020-08-17 15:25:02,PuYi2,浦裔2,9884172.95,0,0,9884172.95,0.9884
2020-08-18,2020-08-18 15:25:02,PuYi2,浦裔2,9879539.64,0,0,9840695.07,0.9841
2020-08-19,2020-08-19 15:25:02,PuYi2,浦裔2,9841170.07,0,0,9840746.1,0.9841
2020-08-20,2020-08-20 15:25:02,PuYi2,浦裔2,9840826.11,0,0,9847509.15,0.9848
2020-08-21,2020-08-21 15:25:02,PuYi2,浦裔2,9847489.15,0,0,9836467.3,0.9836
2020-08-24,2020-08-24 15:25:02,PuYi2,浦裔2,9847387.3,0,0,9808409.94,0.9808
2020-08-25,2020-08-25 15:25:02,PuYi2,浦裔2,9808409.94,0,0,9788095.71,0.9788
2020-09-08,2020-09-08 15:25:02,PuYi2,浦裔2,9788095.72,0,0,9784313.8,0.9784
2020-09-09,2020-09-09 15:25:02,PuYi2,浦裔2,9784313.8,0,0,9802717.37,0.9803
2020-09-10,2020-09-10 15:25:02,PuYi2,浦裔2,9802717.37,0,0,9808438.28,0.9808
2020-09-11,2020-09-11 15:25:03,PuYi2,浦裔2,9808438.26,0,0,9810078.88,0.981
2020-09-14,2020-09-14 15:25:02,PuYi2,浦裔2,9810078.88,0,0,9797374.45,0.9797
2020-09-15,2020-09-15 15:25:03,PuYi2,浦裔2,9797374.45,0,0,9796549.65,0.9797
2020-09-16,2020-09-16 15:25:03,PuYi2,浦裔2,9796549.65,0,0,9810291.17,0.981
2020-09-17,2020-09-17 15:25:02,PuYi2,浦裔2,9810291.17,0,0,9815149.58,0.9815
2020-09-18,2020-09-18 15:25:02,PuYi2,浦裔2,9815149.58,0,0,9815149.58,0.9815
2020-09-21,2020-09-21 15:25:03,PuYi2,浦裔2,9817288.32,0,0,9814808.59,0.9815
2020-09-22,2020-09-22 15:25:02,PuYi2,浦裔2,9814808.59,0,0,9832479.11,0.9832
2020-09-23,2020-09-23 15:25:03,PuYi2,浦裔2,9832479.11,0,0,9841537.16,0.9842
2020-09-24,2020-09-24 15:25:03,PuYi2,浦裔2,9841537.16,0,0,9843596.91,0.9844
2020-09-25,2020-09-25 15:25:02,PuYi2,浦裔2,9843596.91,0,0,9830409.92,0.983
2020-09-28,2020-09-28 15:25:03,PuYi2,浦裔2,9830409.92,0,0,9843485.76,0.9843
2020-09-29,2020-09-29 15:25:03,PuYi2,浦裔2,9843485.75,0,0,9837617.55,0.9838
2020-09-30,2020-10-08 15:25:08,PuYi2,浦裔2,9837617.55,0,0,9840836.23,0.9841
2020-10-09,2020-10-09 15:25:02,PuYi2,浦裔2,9840836.23,0,0,9837303.53,0.9837
2020-10-12,2020-10-12 15:25:03,PuYi2,浦裔2,9843303.53,0,0,9830844.81,0.9831
2020-10-13,2020-10-13 15:25:02,PuYi2,浦裔2,9830844.81,0,0,9821108.62,0.9821
2020-10-14,2020-10-14 15:25:03,PuYi2,浦裔2,9821108.62,0,0,9800053.85,0.98
2020-10-15,2020-10-15 15:25:03,PuYi2,浦裔2,9800053.85,0,0,9808026.86,0.9808
2020-10-16,2020-10-16 15:25:03,PuYi2,浦裔2,9808026.86,0,0,9830461.07,0.983
2020-10-19,2020-10-19 15:25:02,PuYi2,浦裔2,9830461.08,0,0,9825204.75,0.9825
2020-10-20,2020-10-20 15:25:02,PuYi2,浦裔2,9825204.76,0,0,9831040.15,0.9831
2020-10-21,2020-10-21 15:25:03,PuYi2,浦裔2,9831040.96,0,0,9835134.65,0.9835
2020-10-22,2020-10-22 15:25:02,PuYi2,浦裔2,9835134.65,0,0,9839633.18,0.984
2020-10-23,2020-10-23 15:25:03,PuYi2,浦裔2,9839633.18,0,0,9830574.5,0.9831
2020-10-26,2020-10-26 15:25:03,PuYi2,浦裔2,9830574.5,0,0,9840744.94,0.9841
2020-10-27,2020-10-27 15:25:03,PuYi2,浦裔2,9840744.94,0,0,9850028.78,0.985
2020-10-28,2020-10-28 15:25:03,PuYi2,浦裔2,9850028.77,0,0,9836903.77,0.9837
2020-10-29,2020-10-29 15:25:02,PuYi2,浦裔2,9836903.77,0,0,9850290.56,0.985
